iteracija,a,b,c,d,error
0,-12.826212342382988,-1.4289063796744017,14.838966267172225,3.145822363817345,785.9269814505003
1,-20.0,-1.8059670095548792,11.90044441843024,-6.101833484461675,704.1762290123021
2,-14.579998197902025,-0.28486799987934264,0.9531296666828304,-7.3705380938658625,530.7745831464357
3,-9.46181982188863,1.0381287136993085,-12.577446679214885,-10.234590454052675,476.86249624203026
4,-8.626641183252287,1.5725316693512572,-19.090652175974647,-5.162542511831071,396.8167220023282
5,-8.626641183252287,1.5725316693512572,-19.090652175974647,-5.162542511831071,396.8167220023282
6,-8.626641183252287,1.5725316693512572,-19.090652175974647,-5.162542511831071,396.8167220023282
7,-8.626641183252287,1.5725316693512572,-19.090652175974647,-5.162542511831071,396.8167220023282
8,-8.626641183252287,1.5725316693512572,-19.090652175974647,-5.162542511831071,396.8167220023282
9,-4.7494362416698745,1.5465889205796708,-19.083075897177057,4.249232590133864,288.35779736257587
10,-4.7494362416698745,1.5465889205796708,-19.083075897177057,4.249232590133864,288.35779736257587
11,-11.157365463635779,0.5308188883458116,-6.690371313097512,-0.7838033748032682,180.53592755698878
12,-11.157365463635779,0.5308188883458116,-6.690371313097512,-0.7838033748032682,180.53592755698878
13,-11.157365463635779,0.5308188883458116,-6.690371313097512,-0.7838033748032682,180.53592755698878
14,-15.30299870592631,-0.02280504687686049,0.7966470313512508,-12.652020594639783,22.693909979337477
15,-15.30299870592631,-0.02280504687686049,0.7966470313512508,-12.652020594639783,22.693909979337477
16,-15.30299870592631,-0.02280504687686049,0.7966470313512508,-12.652020594639783,22.693909979337477
17,-14.932101638010751,-0.0010283786347098749,0.41053801926691125,-11.49393943805851,18.99218014120495
18,-14.932101638010751,-0.0010283786347098749,0.41053801926691125,-11.49393943805851,18.99218014120495
19,-18.6423679681252,-0.08177927032652524,1.5674627546608024,-15.768267744488867,5.732250881815822
20,-18.6423679681252,-0.08177927032652524,1.5674627546608024,-15.768267744488867,5.732250881815822
21,-18.6423679681252,-0.08177927032652524,1.5674627546608024,-15.768267744488867,5.732250881815822
22,-16.703355958233818,-0.11884864108812511,2.3731090211567976,-19.414918969188804,3.4852199117654608
23,-16.703355958233818,-0.11884864108812511,2.3731090211567976,-19.414918969188804,3.4852199117654608
24,-16.703355958233818,-0.11884864108812511,2.3731090211567976,-19.414918969188804,3.4852199117654608
25,-15.750355385174636,-0.1274754611498444,2.521575069307037,-19.336171143398026,3.4330260717310126
26,-16.204826371118155,-0.1174164174633665,2.3566015875155824,-19.07520679505558,3.4319747272830137
27,-14.610636221502421,-0.12677043388316564,2.5215017985235724,-18.969501131890553,3.2973009244843454
28,-15.713990100810673,-0.12463221655783543,2.46254780269865,-19.178985915851893,3.2752629848347636
29,-15.764659388398458,-0.12848923158841738,2.527310225599519,-19.427506529127143,3.2362612677739198
30,-15.764659388398458,-0.12848923158841738,2.527310225599519,-19.427506529127143,3.2362612677739198
31,-15.764659388398458,-0.12848923158841738,2.527310225599519,-19.427506529127143,3.2362612677739198
32,-15.706099632741001,-0.12941881689992937,2.539897435321282,-19.38734481335875,3.2132881980221066
33,-15.706099632741001,-0.12941881689992937,2.539897435321282,-19.38734481335875,3.2132881980221066
34,-15.706099632741001,-0.12941881689992937,2.539897435321282,-19.38734481335875,3.2132881980221066
35,-15.706099632741001,-0.12941881689992937,2.539897435321282,-19.38734481335875,3.2132881980221066
36,-15.706099632741001,-0.12941881689992937,2.539897435321282,-19.38734481335875,3.2132881980221066
37,-15.706099632741001,-0.12941881689992937,2.539897435321282,-19.38734481335875,3.2132881980221066
38,-15.706099632741001,-0.12941881689992937,2.539897435321282,-19.38734481335875,3.2132881980221066
39,-15.706099632741001,-0.12941881689992937,2.539897435321282,-19.38734481335875,3.2132881980221066
40,-15.706099632741001,-0.12941881689992937,2.539897435321282,-19.38734481335875,3.2132881980221066
41,-15.75108913556178,-0.13045853172632887,2.560255780815506,-19.504117961038684,3.21316423691279
42,-15.75108913556178,-0.13045853172632887,2.560255780815506,-19.504117961038684,3.21316423691279
43,-15.75108913556178,-0.13045853172632887,2.560255780815506,-19.504117961038684,3.21316423691279
44,-15.730024172936554,-0.13064273585911806,2.5632963889527423,-19.50562413164721,3.2131615357836667
45,-15.57001866230177,-0.1288682314729449,2.5293432644068887,-19.276312291408694,3.2131256492485933
46,-15.57001866230177,-0.1288682314729449,2.5293432644068887,-19.276312291408694,3.2131256492485933
47,-15.629173179640219,-0.12949939723241574,2.541628080339284,-19.361042797229306,3.2131219183217525
48,-15.831151865465234,-0.13108369179077392,2.5725659410878716,-19.60158096372125,3.2131163768499675
49,-15.582182492824352,-0.12908052001880188,2.533165302320738,-19.298063250020583,3.213110705534548
50,-15.582182492824352,-0.12908052001880188,2.533165302320738,-19.298063250020583,3.213110705534548
51,-15.582182492824352,-0.12908052001880188,2.533165302320738,-19.298063250020583,3.213110705534548
52,-15.869547110743714,-0.1314756021632011,2.580070125753185,-19.65442823878563,3.213110302667542
53,-15.869547110743714,-0.1314756021632011,2.580070125753185,-19.65442823878563,3.213110302667542
54,-15.869547110743714,-0.1314756021632011,2.580070125753185,-19.65442823878563,3.213110302667542
55,-15.869547110743714,-0.1314756021632011,2.580070125753185,-19.65442823878563,3.213110302667542
56,-15.86828038016567,-0.13147499385721406,2.580149300297028,-19.654592754695607,3.2131102955817425
57,-15.773501049421096,-0.13067306355243663,2.5643857060142876,-19.535499139806056,3.2131102488982677
58,-16.10022602631961,-0.13339630259718904,2.6178145967837105,-19.941515644299283,3.213110061939462
59,-16.10022602631961,-0.13339630259718904,2.6178145967837105,-19.941515644299283,3.213110061939462
60,-15.99938365176956,-0.1325602159256776,2.601396516032043,-19.816435807606773,3.213110059674098
61,-15.99938365176956,-0.1325602159256776,2.601396516032043,-19.816435807606773,3.213110059674098
62,-16.05573288877017,-0.13304713398859636,2.61093432339944,-19.887900117579626,3.213110042156329
63,-16.018418938367567,-0.13273841874193001,2.604902241745627,-19.84194931898739,3.213110038765858
64,-16.036958875087567,-0.13289893126087576,2.608044765345869,-19.865512033524197,3.2131100340523595
65,-16.036958875087567,-0.13289893126087576,2.608044765345869,-19.865512033524197,3.2131100340523595
66,-15.951009079501842,-0.13217613094873348,2.5938610158918367,-19.758070311973555,3.2131100098021323
67,-15.951009079501842,-0.13217613094873348,2.5938610158918367,-19.758070311973555,3.2131100098021323
68,-15.951009079501842,-0.13217613094873348,2.5938610158918367,-19.758070311973555,3.2131100098021323
69,-15.951009079501842,-0.13217613094873348,2.5938610158918367,-19.758070311973555,3.2131100098021323
70,-15.98747295217881,-0.13247644444649892,2.5997544639490475,-19.803077365972783,3.213110008858472
71,-15.845766289794259,-0.13130482169818958,2.5767642476253036,-19.627808950086823,3.213110008763249
72,-15.845766289794259,-0.13130482169818958,2.5767642476253036,-19.627808950086823,3.213110008763249
73,-15.889135844106402,-0.1316625390170243,2.5837853187475015,-19.68139307481168,3.2131100085507893
74,-15.889135844106402,-0.1316625390170243,2.5837853187475015,-19.68139307481168,3.2131100085507893
75,-15.889135844106402,-0.1316625390170243,2.5837853187475015,-19.68139307481168,3.2131100085507893
76,-15.966139594489837,-0.1323007654892126,2.596309121055449,-19.776774555416598,3.2131100083826154
77,-15.966139594489837,-0.1323007654892126,2.596309121055449,-19.776774555416598,3.2131100083826154
